iter	MultiClass
0	2.491452415
1	2.39060123
2	2.311870946
3	2.239200274
4	2.134694805
5	2.061900243
6	1.992399596
7	1.928974043
8	1.859961299
9	1.79685053
10	1.755106671
11	1.701118769
12	1.643449412
13	1.586870437
14	1.550633458
15	1.510954633
16	1.458569308
17	1.411337167
18	1.366605542
19	1.348972934
20	1.341240766
21	1.298911005
22	1.258976603
23	1.220217464
24	1.18231527
25	1.154201053
26	1.121321282
27	1.08478949
28	1.051223982
29	1.020836963
30	0.9885527114
31	0.9563505562
32	0.9301898771
33	0.9028728304
34	0.8842190476
35	0.860537596
36	0.8412280389
37	0.8173118754
38	0.795136865
39	0.7753351231
40	0.754679726
41	0.7325104543
42	0.7121881184
43	0.6923229286
44	0.6771187283
45	0.6589384588
46	0.6437159412
47	0.6253205854
48	0.6095278384
49	0.5943320976
50	0.5806532488
51	0.5672076668
52	0.5537116792
53	0.5414620018
54	0.5295764701
55	0.5180276072
56	0.5061003905
57	0.4947770737
58	0.484596856
59	0.4741725057
60	0.4640680322
61	0.4554040669
62	0.4472238986
63	0.438360213
64	0.4290457611
65	0.4204025053
66	0.4115596225
67	0.4035963687
68	0.4023829206
69	0.394065005
70	0.3856263702
71	0.3773252817
72	0.3707032308
73	0.364034945
74	0.3562992338
75	0.3502291912
76	0.3430771462
77	0.3373111111
78	0.3316665614
79	0.3257688604
80	0.3210532704
81	0.315769288
82	0.3097146938
83	0.3053602236
84	0.3004376914
85	0.2939995967
86	0.2883502849
87	0.2825913279
88	0.2772982233
89	0.2718845009
90	0.2663530054
91	0.2614191318
92	0.2567238797
93	0.2519809121
94	0.2475974753
95	0.2434104731
96	0.2403297717
97	0.2371358072
98	0.2328906875
99	0.2292815693
100	0.2247136426
101	0.2211405046
102	0.2171106205
103	0.2136247356
104	0.2101412454
105	0.2069216165
106	0.2040222053
107	0.2004406716
108	0.1973103595
109	0.1941344144
110	0.1901578148
111	0.1873723108
112	0.1846773837
113	0.1820895229
114	0.1795073457
115	0.1764990588
116	0.1742239533
117	0.1713623434
118	0.1690468903
119	0.1670809656
120	0.1653149826
121	0.1632852118
122	0.1612664004
123	0.1593186061
124	0.1573114932
125	0.1549565676
126	0.1532218459
127	0.1501997591
128	0.1484375914
129	0.1467976704
130	0.1454684406
131	0.144167179
132	0.1426535289
133	0.1410281484
134	0.139554498
135	0.1379515456
136	0.1364445181
137	0.1348768459
138	0.133504481
139	0.1322204584
140	0.1301004131
141	0.1288544948
142	0.1271629823
143	0.1254089649
144	0.1243004744
145	0.1228984501
146	0.1217853768
147	0.1198082918
148	0.1186611917
149	0.1175909489
150	0.1163474256
151	0.115264824
152	0.1143014962
153	0.112719277
154	0.1118195316
155	0.1109248647
156	0.1099831107
157	0.1091057413
158	0.1082437103
159	0.1070490014
160	0.1059292297
161	0.1050657871
162	0.1039717905
163	0.103104513
164	0.1022692244
165	0.1013872155
166	0.1006783266
167	0.09997092103
168	0.09921975142
169	0.09842057135
170	0.09760372509
171	0.09691994794
172	0.09617448398
173	0.09557975268
174	0.09492260517
175	0.09428249619
176	0.0935575415
177	0.09281886028
178	0.0919179988
179	0.09130229497
180	0.09061354623
181	0.09018754185
182	0.08940936135
183	0.08832452384
184	0.08733448375
185	0.08679117504
186	0.08577428427
187	0.08488197538
188	0.08428067985
189	0.08361000576
190	0.08345697215
191	0.08259737917
192	0.08166727216
193	0.08088023284
194	0.08028236121
195	0.07976274704
196	0.07896706639
197	0.07837116979
198	0.07789240675
199	0.07743307696
